Back to Index,Seniority,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Mar-13,Junior,,,SEO,Senior Executive Officer - Internal Audit.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1047,,9.52,33200,49008,other,,
Mar-13,Junior,,,GRADE 7,Manager - Business Unit Support.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1179,,2,45300,57223,Finance,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1036,,12.76,33200,49008,Property and asset management,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Estates and Facilities Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,8,33200,49008,Internal Audit,,
Mar-13,Junior,,,GRADE 7,Manager - Internal Audit.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1047,,6.41,45300,57223,Finance,,
Mar-13,Junior,,,GRADE 6,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1031,,3,55431,69187,Property and asset management,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Estates and Facilities Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,8.13,26800,40828,Property and asset management,,
Mar-13,Junior,,,EA AO,Executive Assistant - Estates and Facilities Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,9,15516,22939,Finance,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1042,,9.86,26800,40828,Internal Audit,,
Mar-13,Junior,,,EO,Executive Officer - Internal Audit.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1047,,4.55,21916,32232,Finance,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1031,,14.8,33200,49008,Finance,,
Mar-13,Junior,,,GRADE 7,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1127,,5,45300,57223,Finance,,
Mar-13,Junior,,,GRADE 7,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1042,,6,45300,57223,other,,
Mar-13,Junior,,,EO,Executive Officer - Departmental Security.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,1,21916,32232,Finance,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1036,,7,26800,40828,Finance,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,7.34,26800,40828,Internal Audit,,
Mar-13,Junior,,,GRADE 6,Manager - Internal Audit.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1047,,2,55431,69187,Finance,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1062,,2,33200,49008,Finance,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,4,33200,49008,Finance,,
Mar-13,Junior,,,GRADE 6,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1036,,2,55431,69187,other,,
Mar-13,Junior,,,GRADE 7,Manager - Departmental Security.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,2,45300,57223,Internal Audit,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Internal Audit.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1047,,2,26800,40828,Finance,,
Mar-13,Junior,,,GRADE 6,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1062,,3,55431,69187,policy,,
Mar-13,Junior,,,GRADE 7,Manager - Policy Delivery.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1062,,1,45300,57223,Finance,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Finance.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,0.71,33200,49008,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1062,,1,21916,32232,Finance,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1042,,6,33200,49008,Finance,,
Mar-13,Junior,,,GRADE 7,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1062,,6,45300,57223,other,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Departmental Security.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,5,33200,49008,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,1,21916,32232,other,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Departmental Security.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,1.86,26800,40828,Finance,,
Mar-13,Junior,,,GRADE 6,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1042,,3,55431,69187,other,,
Mar-13,Junior,,,GRADE 7,Manager - Estates and Facilities Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,3,45300,57223,other,,
Mar-13,Junior,,,GRADE 6,Manager - Estates and Facilities Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,1,55431,69187,policy,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Policy Delivery.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1062,,1.54,26800,40828,other,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Business Unit Support.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1179,,2,33200,49008,Finance,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1062,,1,26800,40828,Finance,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1127,,3,33200,49008,Finance,,
Mar-13,Junior,,,EA AO,Executive Assistant - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1042,,1,15516,22939,Finance,,
Mar-13,Junior,,,GRADE 7,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,2.76,45300,57223,Finance,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1031,,1,26800,40828,Internal Audit,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Internal Audit.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1042,,1,33200,49008,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1190,,1,21916,32232,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,1,21916,32232,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1047,,1,21916,32232,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,2,21916,32232,other,,
Mar-13,Junior,,,GRADE 6,Manager - Departmental Security.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,1,55431,69187,Finance,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1127,,1.61,26800,40828,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1042,,3,21916,32232,Finance,,
Mar-13,Junior,,,EA AO,Executive Assistant - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1031,,1,15516,22939,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1031,,2,21916,32232,Finance,,
Mar-13,Junior,,,GRADE 7,Manager - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1106,,1,45300,57223,Finance,,
Mar-13,Junior,,,GRADE 6,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,1,55431,69187,policy,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Policy Delivery.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1062,,1,33200,49008,Human Resources,,
Mar-13,Junior,,,EO,Executive Officer - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1091,,7,21916,32232,Human Resources,,
Mar-13,Junior,,,SEO,Senior Executive Officer - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1153,,8.54,33200,49008,Human Resources,,
Mar-13,Junior,,,HEO,Higher Executive Officer - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1153,,9.82,26800,40828,Human Resources,,
Mar-13,Junior,,,EO,Executive Officer - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1153,,6.41,21916,32232,Human Resources,,
Mar-13,Junior,,,GRADE 7,Manager - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1091,,5.94,45300,57223,Human Resources,,
Mar-13,Junior,,,HEO,Higher Executive Officer - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1050,,3,26800,40828,Human Resources,,
Mar-13,Junior,,,GRADE 6,Manager - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1050,,7,55431,69187,Human Resources,,
Mar-13,Junior,,,GRADE 7,Manager - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1153,,4.48,45300,57223,Human Resources,,
Mar-13,Junior,,,SEO,Senior Executive Officer - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1091,,6.88,33200,49008,Human Resources,,
Mar-13,Junior,,,EO,Executive Officer - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1050,,2,21916,32232,Human Resources,,
Mar-13,Junior,,,HEO,Higher Executive Officer - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1091,,5,26800,40828,Human Resources,,
Mar-13,Junior,,,SEO,Senior Executive Officer - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1050,,3.8,33200,49008,Human Resources,,
Mar-13,Junior,,,EO,Executive Officer - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1088,,1,21916,32232,Human Resources,,
Mar-13,Junior,,,EA AO,Executive Assistant - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1153,,3.89,15516,22939,Human Resources,,
Mar-13,Junior,,,GRADE 6,Manager - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1153,,1.84,55431,69187,Human Resources,,
Mar-13,Junior,,,EA AO,Executive Assistant - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1091,,1,15516,22939,Human Resources,,
Mar-13,Junior,,,HEO,Higher Executive Officer - HR.,,Department for Education,Department For Education,System Reform Group,,,DFE-1140,,1,26800,40828,Human Resources,,
Mar-13,Junior,,,EA AO,Executive Assistant - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1050,,1.88,15516,22939,Human Resources,,
Mar-13,Junior,,,GRADE 6,Manager - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1091,,2,55431,69187,Human Resources,,
Mar-13,Junior,,,GRADE 7,Manager - HR.,,Department for Education,Department For Education,People and Change Group,,,DFE-1050,,3.09,45300,57223,other,,
Mar-13,Junior,,,EA AO,Executive Assistant - Business Unit Support.,,Department for Education,Department For Education,People and Change Group,,,DFE-1153,,1,15516,22939,policy,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Policy Delivery.,,Department for Education,Department For Education,Care and Adoption Group,,,DFE-1041,,8,33200,49008,policy,,
Mar-13,Junior,,,GRADE 6,Manager - Policy Delivery.,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1184,,0.67,55431,69187,other,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Business Unit Support.,,Department for Education,Department For Education,Children Services and Departmental Strategy,,,DFE-1178,,2,33200,49008,other,,
Mar-13,Junior,,,EO,Executive Officer - Business Unit Support.,,Department for Education,Department For Education,Supporting Delivery Group,,,DFE-1164,,1,21916,32232,other,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Business Unit Support.,,Department for Education,Department For Education,Children Services and Departmental Strategy,,,DFE-1178,,1,26800,40828,policy,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Policy Delivery.,,Department for Education,Department For Education,Supporting Delivery Group,,,DFE-1164,,10,33200,49008,policy,,
Mar-13,Junior,,,EO,Executive Officer - Policy Delivery.,,Department for Education,Department For Education,Supporting Delivery Group,,,DFE-1164,,7,21916,32232,other,,
Mar-13,Junior,,,EO,Executive Officer - Business Unit Support.,,Department for Education,Department For Education,Children Services and Departmental Strategy,,,DFE-1178,,1,21916,32232,other,,
Mar-13,Junior,,,GRADE 7,Manager - Business Unit Support.,,Department for Education,Department For Education,Supporting Delivery Group,,,DFE-1164,,1,45300,57223,other,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Business Unit Support.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1047,,1,26800,40828,other,,
Mar-13,Junior,,,GRADE 6,Manager - Business Unit Support.,,Department for Education,Department For Education,Children Services and Departmental Strategy,,,DFE-1178,,1,55431,69187,policy,,
